DAUID,xCoord,yCoord
48060708,-114.15462,51.0282489
48061807,-114.24106,51.1225983
48061605,-114.17826,51.1367698
48062214,-114.00721,50.9646328
48062278,-114.22954,51.1406822
48062001,-113.93710,51.1275897
48062076,-114.10368,50.8989371
48060730,-114.13840,50.9967704
48061871,-114.20423,51.0573397
48062119,-114.06025,51.1093053
48060892,-114.03236,51.0526949
48061046,-113.94082,51.0696213
48061099,-113.94982,51.1128715
48060103,-114.08111,51.0712651
48060098,-114.06754,51.0787459
48061773,-114.07579,51.1575076
48060242,-114.17251,51.1200261
48062273,-114.04027,51.1605248
48060783,-114.13356,50.9535171
48060169,-114.18575,51.0601212
48060865,-114.05987,51.0650823
48060513,-114.10118,50.9416750
48062029,-113.93107,51.0412981
48061340,-114.02947,50.9211597
48060997,-113.94606,51.0470505
48060539,-114.08947,50.9688566
48062313,-113.97074,50.9187418
48060094,-114.05660,51.0856109
48062232,-114.15702,51.1430925
48060494,-114.07827,50.9117990
48060700,-114.15813,51.0208080
48060410,-114.07922,51.0995501
48061120,-113.94482,51.0944626
48060572,-114.10013,51.0284127
48060167,-114.18528,51.0548895
48062299,-114.09199,51.1665545
48060794,-114.13648,50.9426884
48060271,-114.17245,51.1134588
48060728,-114.13588,50.9994195
48060152,-114.15837,51.0400099
48061802,-114.23646,51.1367464
48061987,-113.93843,51.1165077
48061771,-114.08081,51.1520831
48060927,-114.00429,51.0567909
48060400,-114.06957,51.1093879
48061556,-114.15970,51.1274246
48061045,-113.94746,51.0684226
48061616,-113.99438,50.9363910
48060308,-114.16200,51.0847438
48060959,-113.96842,51.0835625
48061879,-114.20232,51.0448083
48061992,-113.93986,51.1240761
48061316,-114.07289,50.9373358
48061320,-114.07793,50.9434675
48060331,-114.14756,51.1148010
48060579,-114.09327,51.0361137
48060457,-114.07403,51.0902109
48060878,-114.05237,51.0755776
48060272,-114.17025,51.1091784
48060685,-114.14886,51.0266742
48061084,-113.95533,51.1050886
48060377,-114.10923,51.1328091
48060961,-113.97596,51.0830875
48061767,-114.10479,51.1492985
48061211,-114.00483,50.9886025
48060425,-114.11275,51.0931883
48060962,-113.97509,51.0794512
48060743,-114.11052,51.0101733
48060624,-114.07375,51.0354114
48060524,-114.10451,50.9589884
48061762,-114.10447,51.1604076
48061523,-114.05463,51.0708097
48062223,-114.06142,51.1589777
48060202,-114.21606,51.0898804
48060162,-114.17758,51.0446578
48061621,-114.05136,51.1452512
48061372,-114.06431,50.9087866
48060832,-114.11489,50.9580351
48060500,-114.08585,50.9242378
48060666,-114.09619,51.0398940
48062376,-113.95729,51.1160858
48061491,-113.96655,51.0794530
48060760,-114.13406,51.0296386
48060063,-114.08394,51.1283144
48061055,-113.95045,51.0795418
48060692,-114.14096,51.0158731
48060632,-114.04337,51.0376935
48060781,-114.12574,50.9554593
48060603,-114.07011,51.0402386
48061310,-114.04590,50.9454199
48060241,-114.17543,51.1228168
48060946,-113.97561,51.0904606
48060210,-114.20550,51.1142697
48061208,-114.00980,50.9823073
48060440,-114.09255,51.0687965
48062173,-114.12844,50.8968959
48061504,-114.06666,51.1306465
48061490,-113.96159,51.0793588
48062143,-114.11014,50.9141660
48061298,-114.06061,50.9612863
48060087,-114.07374,51.1018240
48060077,-114.05341,51.1195519
48062124,-114.05804,51.1008987
48060770,-114.11562,50.9685196
48061580,-114.06405,50.9739854
48060323,-114.13238,51.1001850
48060499,-114.07390,50.9175342
48061631,-113.95182,51.1023299
48062300,-114.08730,51.1614184
48061028,-113.97435,51.0545951
48061117,-113.94232,51.0895204
48060135,-114.13364,51.0588295
48060125,-114.09985,51.0647552
48061136,-113.93771,51.0614606
48060109,-114.08044,51.0599514
48061095,-113.96076,51.1093202
48062162,-114.11590,51.0195869
48060069,-114.06915,51.1210270
48061346,-114.02821,50.9020315
48061888,-114.16939,51.0337335
48061367,-114.05277,50.9165842
48060803,-114.12026,50.9378548
48060776,-114.12772,50.9647698
48060555,-114.07909,51.0021074
48060777,-114.12783,50.9624146
48060411,-114.07521,51.0955612
48060687,-114.14258,51.0265921
48061065,-113.95526,51.0938681
48060656,-114.08012,51.0470843
48060850,-114.10768,51.0562211
48060066,-114.07879,51.1242732
48060547,-114.08707,50.9887824
48061996,-113.94967,51.1283769
48060914,-113.97628,51.0393400
48060197,-114.19616,51.0934883
48060663,-114.09711,51.0433527
48060453,-114.14410,51.0726445
48060965,-113.96837,51.0764280
48062399,-114.28204,51.0904569
48061800,-114.22229,51.1376900
48060979,-113.97839,51.0611119
48060304,-114.17328,51.1024008
48060200,-114.20822,51.0916306
48061325,-114.09021,50.9554164
48062187,-114.09665,50.9112803
48060172,-114.17521,51.0647939
48060712,-114.16812,51.0289570
48061053,-113.94338,51.0797433
48061354,-114.05116,50.9012134
48061068,-113.95014,51.0976569
48060815,-114.12680,50.9715491
48062325,-113.98316,50.8965390
48062354,-113.96125,50.9167634
48061131,-113.92935,51.0747374
48062148,-114.10781,50.9081004
48060080,-114.05247,51.1137208
48060324,-114.13638,51.0961347
48060768,-114.10981,50.9723491
48062282,-114.04512,51.1712300
48060758,-114.13408,51.0221399
48061575,-113.96969,51.0943527
48060618,-114.08736,51.0265428
48060870,-114.06197,51.0684416
